# This file was produced by bcftools (1.10.2-128-gd1b74cd+htslib-1.10.2-137-g34ba6c7), the command line was:
# 	 bcftools gtcheck  all_strains_biallelic_SNPs_no_missing.recode.vcf.gz
# and the working directory was:
# 	 /Users/clairedubin/cocci/popgen/popgen_paper/isolate_and_pop_info
#
INFO	Time required to process one record .. 0.000013 seconds
# DC, discordance:
#     - query sample
#     - genotyped sample
#     - discordance (number of mismatches; smaller is better)
#     - negative log of HWE probability at matching sites (rare genotypes mataches are more informative, bigger is better)
#     - number of sites compared (bigger is better)
#DC	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]-log P(HWE)	[6]Number of sites compared
DC	San_Antonio_1	Tucson_4	3.454826e+05	1.570879e+06	262428
DC	San_Antonio_1	Tucson_5	3.555742e+05	1.555304e+06	262428
DC	San_Antonio_1	Tucson_6	3.560000e+05	1.562729e+06	262428
DC	San_Antonio_1	Tucson_7	3.648537e+05	1.554331e+06	262428
DC	San_Antonio_1	Tucson_8	3.404418e+05	1.566411e+06	262428
DC	San_Antonio_1	Tucson_9	3.381145e+05	1.563446e+06	262428
DC	San_Antonio_1	Tucson_10	3.681614e+05	1.554058e+06	262428
DC	San_Antonio_1	Tucson_11	3.331430e+05	1.560871e+06	262428
DC	San_Antonio_1	Tucson_12	3.496421e+05	1.564278e+06	262428
DC	San_Antonio_1	Tucson_13	3.508305e+05	1.566116e+06	262428
DC	San_Antonio_1	Tucson_14	3.499590e+05	1.564535e+06	262428
DC	San_Antonio_1	Tucson_15	3.447795e+05	1.563665e+06	262428
DC	San_Antonio_1	Tucson_16	3.523853e+05	1.564784e+06	262428
DC	San_Antonio_1	Tucson_17	3.352723e+05	1.567635e+06	262428
DC	San_Antonio_1	Tucson_18	3.468097e+05	1.568923e+06	262428
DC	San_Antonio_1	Tucson_19	3.481962e+05	1.565604e+06	262428
DC	San_Antonio_1	Tucson_20	3.583769e+05	1.561415e+06	262428
DC	San_Antonio_1	Tucson_21	3.498996e+05	1.565221e+06	262428
DC	San_Antonio_1	Tucson_22	3.477010e+05	1.563121e+06	262428
DC	San_Antonio_1	Tucson_23	3.492162e+05	1.564163e+06	262428
DC	Colorado_Springs_1	Tucson_1	3.129500e+05	1.568330e+06	262428
DC	Colorado_Springs_1	Tucson_2	3.384017e+05	1.561911e+06	262428
DC	Colorado_Springs_1	Tucson_3	3.095135e+05	1.573730e+06	262428
DC	Colorado_Springs_1	Tucson_4	3.094739e+05	1.573763e+06	262428
DC	Colorado_Springs_1	Tucson_5	3.242993e+05	1.557437e+06	262428
DC	Colorado_Springs_1	Tucson_6	3.197735e+05	1.565468e+06	262428
DC	Colorado_Springs_1	Tucson_7	3.531281e+05	1.552868e+06	262428
DC	Colorado_Springs_1	Tucson_8	3.073645e+05	1.568545e+06	262428
DC	Colorado_Springs_1	Tucson_9	3.058691e+05	1.565907e+06	262428
DC	Colorado_Springs_1	Tucson_10	3.127024e+05	1.560494e+06	262428
DC	Colorado_Springs_1	Tucson_11	3.075725e+05	1.562058e+06	262428
DC	Colorado_Springs_1	Tucson_12	2.957280e+05	1.570205e+06	262428
DC	Colorado_Springs_1	Tucson_13	3.057304e+05	1.570211e+06	262428
DC	Colorado_Springs_1	Tucson_14	2.936483e+05	1.570998e+06	262428
DC	Colorado_Springs_1	Tucson_15	2.980553e+05	1.568559e+06	262428
DC	Colorado_Springs_1	Tucson_16	3.244379e+05	1.566178e+06	262428
DC	Colorado_Springs_1	Tucson_17	3.132075e+05	1.567799e+06	262428
DC	Colorado_Springs_1	Tucson_18	2.986594e+05	1.573709e+06	262428
DC	Colorado_Springs_1	Tucson_19	3.004024e+05	1.570640e+06	262428
DC	Colorado_Springs_1	Tucson_20	3.256561e+05	1.563627e+06	262428
DC	Colorado_Springs_1	Tucson_21	2.887164e+05	1.572555e+06	262428
DC	Colorado_Springs_1	Tucson_22	3.082063e+05	1.566549e+06	262428
DC	Colorado_Springs_1	Tucson_23	2.889046e+05	1.571837e+06	262428
DC	Colorado_Springs_1	San_Antonio_1	3.540392e+05	1.559341e+06	262428
DC	Sonora_1	Tucson_1	3.448587e+05	1.569486e+06	262428
DC	Sonora_1	Tucson_2	3.534747e+05	1.566182e+06	262428
DC	Sonora_1	Tucson_3	3.341532e+05	1.576057e+06	262428
DC	Sonora_1	Tucson_4	3.341136e+05	1.576090e+06	262428
DC	Sonora_1	Tucson_5	3.552177e+05	1.558804e+06	262428
DC	Sonora_1	Tucson_6	3.520783e+05	1.566772e+06	262428
DC	Sonora_1	Tucson_7	3.552276e+05	1.559212e+06	262428
DC	Sonora_1	Tucson_8	3.436109e+05	1.568858e+06	262428
DC	Sonora_1	Tucson_9	3.365102e+05	1.567157e+06	262428
DC	Sonora_1	Tucson_10	3.670522e+05	1.557596e+06	262428
DC	Sonora_1	Tucson_11	3.273198e+05	1.565306e+06	262428
DC	Sonora_1	Tucson_12	3.480179e+05	1.567900e+06	262428
DC	Sonora_1	Tucson_13	3.499788e+05	1.569419e+06	262428
DC	Sonora_1	Tucson_14	3.453242e+05	1.568712e+06	262428
DC	Sonora_1	Tucson_15	3.419669e+05	1.567223e+06	262428
DC	Sonora_1	Tucson_16	3.437297e+05	1.569600e+06	262428
DC	Sonora_1	Tucson_17	3.389761e+05	1.570283e+06	262428
DC	Sonora_1	Tucson_18	3.500976e+05	1.571585e+06	262428
DC	Sonora_1	Tucson_19	3.441358e+05	1.569664e+06	262428
DC	Sonora_1	Tucson_20	3.494836e+05	1.566406e+06	262428
DC	Sonora_1	Tucson_21	3.475624e+05	1.568940e+06	262428
DC	Sonora_1	Tucson_22	3.457797e+05	1.566824e+06	262428
DC	Sonora_1	Tucson_23	3.455916e+05	1.568071e+06	262428
DC	Sonora_1	San_Antonio_1	1.977637e+05	1.596003e+06	262428
DC	Sonora_1	Colorado_Springs_1	3.450865e+05	1.564127e+06	262428
DC	Sonora_2	Tucson_1	3.392534e+05	1.553678e+06	262428
DC	Sonora_2	Tucson_2	3.395703e+05	1.551502e+06	262428
DC	Sonora_2	Tucson_3	3.300334e+05	1.560071e+06	262428
DC	Sonora_2	Tucson_4	3.299937e+05	1.560104e+06	262428
DC	Sonora_2	Tucson_5	3.291718e+05	1.546771e+06	262428
DC	Sonora_2	Tucson_6	3.301918e+05	1.553881e+06	262428
DC	Sonora_2	Tucson_7	3.391049e+05	1.545736e+06	262428
DC	Sonora_2	Tucson_8	3.376293e+05	1.553149e+06	262428
DC	Sonora_2	Tucson_9	3.375599e+05	1.550165e+06	262428
DC	Sonora_2	Tucson_10	3.478793e+05	1.544010e+06	262428
DC	Sonora_2	Tucson_11	3.353020e+05	1.546914e+06	262428
DC	Sonora_2	Tucson_12	3.304295e+05	1.553964e+06	262428
DC	Sonora_2	Tucson_13	3.371044e+05	1.554671e+06	262428
